"zona","state","municipio","head","hotel"
"5","Cancun","Cancun","Puerto Morelos","Royalton Riviera Cancun Resorts & Spa Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Secrets Excellence"
"5","Cancun","Cancun","Puerto Morelos","Secrets Silversands Riviera Cancun"
"5","Cancun","Cancun","Puerto Morelos","Suites Stella Marina Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","The Little Mexican Cooking School Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Uncle Hugo's Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Velas Condos puerto morelos"
"5","Cancun","Cancun","Puerto Morelos","Ventus at Marina El Cid Spa & Beach Resort"
"5","Cancun","Cancun","Puerto Morelos","Villa Shanti Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Villa Sirenas Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Villas Clarita Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Villas Latinas"
"5","Cancun","Cancun","Puerto Morelos","Villas Playasol"
"5","Cancun","Cancun","Puerto Morelos","Villas Valentina Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Zoetry Parariso De La Bonita Puerto Morelos"
"6","Cancun","Cancun","Playa Paraiso","Acacia Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","Amarte Maroma"
"6","Cancun","Cancun","Playa Paraiso","Artisan The Handmade Hotel Collection Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","Belmond Maroma Resort & Spa Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","Casa Chanty Beach Front"
"6","Cancun","Cancun","Playa Paraiso","Casitas Royale"
"6","Cancun","Cancun","Playa Paraiso","Catalonia Maroma"
"6","Cancun","Cancun","Playa Paraiso","Catalonia Playa Maroma Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","Catalonia Priveleged Maroma"
"6","Cancun","Cancun","Playa Paraiso","Chable Maroma"
"6","Cancun","Cancun","Playa Paraiso","Domicilio Particular Zona PLP"
"6","Cancun","Cancun","Playa Paraiso","El Dorado Casitas Royale Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","El Dorado Maroma Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","El Dorado Royale Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","Generations Riviera Maya"
"6","Cancun","Cancun","Playa Paraiso","Grand Luxxe Riviera Maya Playa Del Carmen"
"6","Cancun","Cancun","Playa Paraiso","Grand Mayan Palace"
"6","Cancun","Cancun","Playa Paraiso","Hacienda del Secreto Playa del Secreto"
"6","Cancun","Cancun","Playa Paraiso","Hotel Amarte"
